race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes,course_id,cup,nth_race,debut_console,selected
30,3DS Neo Bowser City,150,4,Piranha Plant Cove,1,25.00%,45,Bell,1,3DS,False
31,DS Cheep Cheep Beach,150,12,GCN Waluigi Stadium,3,25.00%,27,Shell,3,DS,False
31,DS Cheep Cheep Beach,150,12,Random,3,25.00%,27,Shell,3,DS,False
31,DS Cheep Cheep Beach,150,12,Ice Ice Outpost,3,25.00%,27,Shell,3,DS,False
31,DS Cheep Cheep Beach,150,12,DS Cheep Cheep Beach,3,25.00%,27,Shell,3,DS,True
32,N64 Rainbow Road,150,11,DS Peach Gardens,3,27.27%,40,Lightning,4,N64,False
32,N64 Rainbow Road,150,11,3DS Rainbow Road,5,45.45%,40,Lightning,4,N64,False
32,N64 Rainbow Road,150,11,Random,1,9.09%,40,Lightning,4,N64,False
32,N64 Rainbow Road,150,11,N64 Rainbow Road,2,18.18%,40,Lightning,4,N64,True
33,GBA Mario Circuit,150,12,Wii Rainbow Road,7,58.33%,26,Shell,2,GBA,False
33,GBA Mario Circuit,150,12,Random,2,16.67%,26,Shell,2,GBA,False
33,GBA Mario Circuit,150,12,Wii Maple Treeway,1,8.33%,26,Shell,2,GBA,False
33,GBA Mario Circuit,150,12,GBA Mario Circuit,1,8.33%,26,Shell,2,GBA,True
33,GBA Mario Circuit,150,12,DS Waluigi Pinball,1,8.33%,26,Shell,2,GBA,False
34,N64 Choco Mountain,150,6,DS Peach Gardens,2,33.33%,51,Golden Dash,3,N64,False
34,N64 Choco Mountain,150,6,N64 Choco Mountain,1,16.67%,51,Golden Dash,3,N64,True
34,N64 Choco Mountain,150,6,Random,1,16.67%,51,Golden Dash,3,N64,False
34,N64 Choco Mountain,150,6,Dolphin Shoals,2,33.33%,51,Golden Dash,3,N64,False
35,DS Cheep Cheep Beach,Mirror,10,SNES Rainbow Road,4,40.00%,27,Shell,3,DS,False
35,DS Cheep Cheep Beach,Mirror,10,Random,4,40.00%,27,Shell,3,DS,False
35,DS Cheep Cheep Beach,Mirror,10,GBA Ribbon Road,1,10.00%,27,Shell,3,DS,False
35,DS Cheep Cheep Beach,Mirror,10,DS Cheep Cheep Beach,1,10.00%,27,Shell,3,DS,True
36,3DS Neo Bowser City,150,10,GBA Ribbon Road,3,30.00%,45,Bell,1,3DS,False
36,3DS Neo Bowser City,150,10,3DS Neo Bowser City,1,10.00%,45,Bell,1,3DS,True
36,3DS Neo Bowser City,150,10,DS Tick-Tock Clock,3,30.00%,45,Bell,1,3DS,False
36,3DS Neo Bowser City,150,10,Random,2,20.00%,45,Bell,1,3DS,False
36,3DS Neo Bowser City,150,10,N64 Rainbow Road,1,10.00%,45,Bell,1,3DS,False
37,Wii Moonview Highway,150,10,Wii Koopa Cape,2,20.00%,83,Feather,3,Wii,False
37,Wii Moonview Highway,150,10,Wii Moonview Highway,1,10.00%,83,Feather,3,Wii,True
37,Wii Moonview Highway,150,10,Wii DK Summit,3,30.00%,83,Feather,3,Wii,False
37,Wii Moonview Highway,150,10,Random,4,40.00%,83,Feather,3,Wii,False
38,Tour Berlin Byways,150,12,Wild Woods,6,50.00%,69,Moon,1,Tour,False
38,Tour Berlin Byways,150,12,Tour Berlin Byways,3,25.00%,69,Moon,1,Tour,True
38,Tour Berlin Byways,150,12,Random,2,16.67%,69,Moon,1,Tour,False
38,Tour Berlin Byways,150,12,Tour Singapore Speedway,1,8.33%,69,Moon,1,Tour,False
39,Ninja Hideaway,150,12,Electrodome,2,16.67%,56,Lucky Cat,4,Switch,False
39,Ninja Hideaway,150,12,Mario Kart Stadium,4,33.33%,56,Lucky Cat,4,Switch,False
39,Ninja Hideaway,150,12,Random,3,25.00%,56,Lucky Cat,4,Switch,False
39,Ninja Hideaway,150,12,Ninja Hideaway,3,25.00%,56,Lucky Cat,4,Switch,True
40,GBA Snow Land,150,12,Dragon Driftway,3,25.00%,62,Propeller,2,GBA,False
40,GBA Snow Land,150,12,Random,5,41.67%,62,Propeller,2,GBA,False
40,GBA Snow Land,150,12,GBA Snow Land,4,33.33%,62,Propeller,2,GBA,True
42,3DS Neo Bowser City,150,12,3DS Neo Bowser City,3,25.00%,45,Bell,1,3DS,True
42,3DS Neo Bowser City,150,12,GBA Sky Garden,1,8.33%,45,Bell,1,3DS,False
42,3DS Neo Bowser City,150,12,Mario Kart Stadium,6,50.00%,45,Bell,1,3DS,False
42,3DS Neo Bowser City,150,12,Random,2,16.67%,45,Bell,1,3DS,False
43,N64 Choco Mountain,150,11,GCN Yoshi Circuit,5,45.45%,51,Golden Dash,3,N64,False
43,N64 Choco Mountain,150,11,Thwomp Ruins,3,27.27%,51,Golden Dash,3,N64,False
43,N64 Choco Mountain,150,11,N64 Choco Mountain,2,18.18%,51,Golden Dash,3,N64,True
43,N64 Choco Mountain,150,11,Random,1,9.09%,51,Golden Dash,3,N64,False
44,Squeaky Clean Sprint,150,10,Squeaky Clean Sprint,4,40.00%,84,Feather,4,Switch,True
44,Squeaky Clean Sprint,150,10,N64 Royal Raceway,3,30.00%,84,Feather,4,Switch,False
44,Squeaky Clean Sprint,150,10,Random,2,20.00%,84,Feather,4,Switch,False
44,Squeaky Clean Sprint,150,10,Tour London Loop,1,10.00%,84,Feather,4,Switch,False
45,DS Waluigi Pinball,150,12,GCN Daisy Cruiser,5,41.67%,60,Turnip,4,DS,False
45,DS Waluigi Pinball,150,12,Tour Singapore Speedway,4,33.33%,60,Turnip,4,DS,False
45,DS Waluigi Pinball,150,12,DS Waluigi Pinball,1,8.33%,60,Turnip,4,DS,True
45,DS Waluigi Pinball,150,12,Super Bell Subway,1,8.33%,60,Turnip,4,DS,False
45,DS Waluigi Pinball,150,12,Random,1,8.33%,60,Turnip,4,DS,False
46,SNES Bowser Castle 3,150,9,Wii Rainbow Road,3,33.33%,95,Spiny,3,SNES,False
