race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes
8,Dragon Driftway,150,8,Tour Paris Promenade,1,12.50%
9,Ice Ice Outpost,150,12,Ice Ice Outpost,8,66.67%
9,Ice Ice Outpost,150,12,Tour Singapore Speedway,2,16.67%
9,Ice Ice Outpost,150,12,Random,2,16.67%
10,Toad Harbor,150,8,Wii Daisy Circuit,1,12.50%
10,Toad Harbor,150,8,Tour Vancouver Velocity,4,50.00%
10,Toad Harbor,150,8,Toad Harbor,1,12.50%
10,Toad Harbor,150,8,Random,1,12.50%
10,Toad Harbor,150,8,Water Park,1,12.50%
11,3DS Toad Circuit,150,12,N64 Rainbow Road,5,41.67%
11,3DS Toad Circuit,150,12,Random,1,8.33%
11,3DS Toad Circuit,150,12,3DS Toad Circuit,3,25.00%
11,3DS Toad Circuit,150,12,Wii Maple Treeway,3,25.00%
12,Cloudtop Cruise,150,12,DS Shroom Ridge,5,41.67%
12,Cloudtop Cruise,150,12,Cloudtop Cruise,1,8.33%
12,Cloudtop Cruise,150,12,GBA Sunset Wilds,4,33.33%
12,Cloudtop Cruise,150,12,Dolphin Shoals,1,8.33%
12,Cloudtop Cruise,150,12,Random,1,8.33%
13,Bone-Dry Dunes,150,12,DS Mario Circuit,3,25.00%
13,Bone-Dry Dunes,150,12,Random,5,41.67%
13,Bone-Dry Dunes,150,12,Bone-Dry Dunes,1,8.33%
13,Bone-Dry Dunes,150,12,Ice Ice Outpost,2,16.67%
13,Bone-Dry Dunes,150,12,DS Wario Stadium,1,8.33%
14,Water Park,150,11,Dragon Driftway,2,18.18%
14,Water Park,150,11,Random,3,27.27%
14,Water Park,150,11,3DS Neo Bowser City,3,27.27%
14,Water Park,150,11,Wii Moo Moo Meadows,2,18.18%
14,Water Park,150,11,Water Park,1,9.09%
15,Sweet Sweet Canyon,150,11,Sweet Sweet Canyon,5,45.45%
15,Sweet Sweet Canyon,150,11,Random,3,27.27%
15,Sweet Sweet Canyon,150,11,Big Blue,3,27.27%
16,DS Cheep Cheep Beach,150,12,DS Cheep Cheep Beach,5,41.67%
16,DS Cheep Cheep Beach,150,12,Random,4,33.33%
16,DS Cheep Cheep Beach,150,12,GBA Snow Land,2,16.67%
16,DS Cheep Cheep Beach,150,12,3DS Rosalina's Ice World,1,8.33%
17,Animal Crossing,150,8,Sweet Sweet Canyon,3,37.50%
17,Animal Crossing,150,8,Animal Crossing,2,25.00%
17,Animal Crossing,150,8,Random,2,25.00%
17,Animal Crossing,150,8,GBA Sky Garden,1,12.50%
18,N64 Yoshi Valley,150,12,N64 Yoshi Valley,5,41.67%
18,N64 Yoshi Valley,150,12,DS Cheep Cheep Beach,2,16.67%
18,N64 Yoshi Valley,150,12,N64 Kalimari Desert,3,25.00%
18,N64 Yoshi Valley,150,12,Random,2,16.67%
19,3DS Neo Bowser City,150,11,Mount Wario,5,45.45%
